line,source
"Lose Yourself: His palms are sweaty, knees weak, arms are heavy.","Eminem (rap, 2002)"
"Juicy: It was all a dream.","Notorious B.I.G. (hip-hop, 1994)"
"Umbrella: Ella, ella, eh eh eh.","Rihanna (R&B pop, 2007)"
"Hotline Bling: You used to call me on my cellphone.","Drake (R&B, 2015)"
"Old Town Road: I'm gonna take my horse to the old town road.","Lil Nas X (country rap, 2019)"
"Y.M.C.A.: Young man!","Village People (disco, 1978)"
"Macarena: Hey Macarena!","Los Del Rio (dance, 1993)"
"Cha Cha Slide: To the left! To the right!","DJ Casper (dance, 2000)"
"Crank That: Superman that ho!","Soulja Boy (crunk, 2007)"
"Watch Me: Now watch me whip, watch me nae nae.","Silentó (dance rap, 2015)"
"Gimme More: It's Britney, bitch.","Britney Spears (pop, 2007)"
"Toxic: Too high, can't come down.","Britney Spears (pop, 2003)"
"Waka Waka: This time for Africa.","Shakira (World Cup, 2010)"
"Despacito remix: I like it like that.","Pitbull ft. Cardi B (Spanish-English, 2020)"
"Mi Gente: Mi gente!","J Balvin (reggaeton, 2017)"
"Sukiyaki: Ue o muite arukou.","Kyu Sakamoto (Japanese, 1963)"
"Lemon: Sore ga yume da toshite.","Rice (J-pop, 2018)"
"Pretender: Sayonara no naka e to.","Official Hige Dandism (J-pop, 2019)"
"Gurenge: Boku wa sou katto shite.","LiSA from Demon Slayer (J-rock anime, 2019)"
"残酷な天使のテーゼ: Zankoku na tenshi no thesis.","High School Prodigy Evangelion (J-pop anime, 1995)"
"Unchained Melody: Oh, my love, my darling.","The Righteous Brothers (classic ballad, 1965)"
"Stand By Me: If the sky that we look upon.","Ben E. King (soul, 1961)"
"At Last: My love has come along.","Etta James (soul jazz, 1960)"
"What a Wonderful World: I see trees of green.","Louis Armstrong (jazz pop, 1967)"
"Ain't No Sunshine: When she's gone.","Bill Withers (soul, 1971)"
"Respect: R-E-S-P-E-C-T.","Aretha Franklin (soul, 1967)"
"Proud Mary: Rollin' on the river.","Tina Turner (rock soul, 1971)"
"September: Do you remember the 21st night.","Earth, Wind & Fire (funk disco, 1978)"
"Stayin' Alive: Ah, ha, ha, ha, stayin' alive.","Bee Gees (disco, 1977)"
"Night Fever: Here I am, all alone.","Bee Gees (disco, 1978)"
"Uptown Funk: Don't believe me, just watch.","Mark Ronson ft. Bruno Mars (funk pop, 2014)"
"Happy: Because I'm happy.","Pharrell Williams (pop, 2013)"
"Shake It Off: Haters gonna hate.","Taylor Swift (pop, 2014)"
"Roar: I got the eye of the tiger.","Katy Perry (pop, 2013)"
"Firework: Baby, you're a firework.","Katy Perry (pop, 2010)"
"Umbrella: Under my umbrella-ella-ella.","Rihanna (R&B, 2007)"
"Diamonds: Shine bright like a diamond.","Rihanna (pop, 2012)"
"Single Ladies: If you liked it, put a ring on it.","Beyoncé (R&B pop, 2008)"
"Crazy in Love: Uh oh, uh oh.","Beyoncé ft. Jay-Z (R&B, 2003)"
"Formation: Okay, ladies, now let's get in formation.","Beyoncé (hip-hop R&B, 2016)"
"Juice: Woke up like this.","Lizzo (pop rap, 2019)"
"Truth Hurts: Why men great 'til they gotta be great?","Lizzo (rap pop, 2017)"
"Good 4 U: Maybe I'm too emotional.","Olivia Rodrigo (pop punk, 2021)"
"Drivers License: And you're probably with that blonde girl.","Olivia Rodrigo (pop ballad, 2021)"
"Anti-Hero: It's me, hi, I'm the problem, it's me.","Taylor Swift (pop, 2022)"
"Vampire: Hate to give the satisfaction.","Olivia Rodrigo (pop rock, 2023)"
"As It Was: In this world, it's just us.","Harry Styles (pop, 2022)"
"Watermelon Sugar: Tastes like strawberries.","Harry Styles (pop rock, 2019)"
"Adore You: Walk in your rainbow paradise.","Harry Styles (pop, 2019)"
"Flowers: I can buy myself flowers.","Miley Cyrus (pop, 2023)"
"Kill Bill: Sorry, I didn't reply.","SZA (R&B, 2022)"
"Snooze: Need you to get that shoop on.","SZA (R&B, 2022)"
