line,source
"I know why the caged bird sings.","I Know Why the Caged Bird Sings by Maya Angelou (American memoir, 1969)"
"Things fall apart; the centre cannot hold.","The Second Coming by W.B. Yeats (Irish poem, 1919)"
"Crime and Punishment: an axe.","Crime and Punishment by Fyodor Dostoevsky (Russian novel, 1866)"
"The waste land: a heap of broken images.","The Waste Land by T.S. Eliot (American/British poem, 1922)"
"January. It was cold.","Perfume by Patrick Süskind (German novel, 1985)"
"Stoicism: control what you can.","Meditations by Marcus Aurelius (Roman philosophy, 170 AD)"
"The tiger's jaws: poetry.","The Tyger by William Blake (English poem, 1794)"
"Madame Bovary: arsenic dreams.","Madame Bovary by Gustave Flaubert (French novel, 1857)"
"Slaughterhouse-Five: so it goes.","Slaughterhouse-Five by Kurt Vonnegut (American sci-fi humor, 1969)"
"The sun also rises.","The Sun Also Rises by Ernest Hemingway (American novel, 1926)"
"Ulysses: Stately, plump Buck Mulligan.","Ulysses by James Joyce (Irish novel, 1922)"
"The Odyssey: sing, O goddess.","The Odyssey by Homer (Greek epic, ~800 BC)"
"Don Quixote: tilting at windmills.","Don Quixote by Miguel de Cervantes (Spanish novel, 1605)"
"Frankenstein: it's alive!","Frankenstein by Mary Shelley (English gothic, 1818)"
"The Jungle Book: feed the wolves.","The Jungle Book by Rudyard Kipling (British colonial tales, 1894)"
"One thousand and one nights.","Arabian Nights (Middle Eastern folklore, ancient)"
"The Tale of Genji: moonlit sorrows.","The Tale of Genji by Murasaki Shikibu (Japanese novel, 1008)"
"The Prophet: on love.","The Prophet by Kahlil Gibran (Lebanese philosophy, 1923)"
"The Alchemist: follow your heart.","The Alchemist by Paulo Coelho (Brazilian fable, 1988)"
"Things: a bicycle pump.","The Things They Carried by Tim O'Brien (American war stories, 1990)"
"Beloved: 124 was spiteful.","Beloved by Toni Morrison (American novel, 1987)"
"The Handmaid's Tale: nolite te bastardes carborundorum.","The Handmaid's Tale by Margaret Atwood (Canadian dystopia, 1985)"
"Brave New World: ending is better than mending.","Brave New World by Aldous Huxley (English sci-fi, 1932)"
"Fahrenheit 451: burn the books.","Fahrenheit 451 by Ray Bradbury (American dystopia, 1953)"
"The Hitchhiker's Guide: don't panic.","The Hitchhiker's Guide to the Galaxy by Douglas Adams (British humor sci-fi, 1979)"
"Ender's Game: the enemy's gate is down.","Ender's Game by Orson Scott Card (American sci-fi, 1985)"
"Dune: spice must flow.","Dune by Frank Herbert (American sci-fi, 1965)"
"Foundation: psychohistory.","Foundation by Isaac Asimov (Russian-American sci-fi, 1951)"
"Stranger in a Strange Land: grok.","Stranger in a Strange Land by Robert A. Heinlein (American sci-fi, 1961)"
"The Left Hand of Darkness: light is the left hand of darkness.","The Left Hand of Darkness by Ursula K. Le Guin (American sci-fi, 1969)"
"Never Let Me Go: clones.","Never Let Me Go by Kazuo Ishiguro (Japanese-British novel, 2005)"
"The Wind-Up Bird Chronicle: dreams.","The Wind-Up Bird Chronicle by Haruki Murakami (Japanese novel, 1994)"
"Norwegian Wood: banana.","Norwegian Wood by Haruki Murakami (Japanese novel, 1987)"
"Kitchen: a knife.","Kitchen by Banana Yoshimoto (Japanese novel, 1988)"
"The God of Small Things: not now.","The God of Small Things by Arundhati Roy (Indian novel, 1997)"
"White Tiger: auto rickshaw.","The White Tiger by Aravind Adiga (Indian novel, 2008)"
"Midnight's Children: who was pickled.","Midnight's Children by Salman Rushdie (Indian-British novel, 1981)"
"The Shadow of the Wind: Cemetery of Forgotten Books.","The Shadow of the Wind by Carlos Ruiz Zafón (Spanish novel, 2001)"
"Perfume: the color of TV.","Perfume by Patrick Süskind (German novel, 1985)"
"The Name of the Rose: laughter.","The Name of the Rose by Umberto Eco (Italian mystery, 1980)"
"If on a winter's night a traveler.","If on a Winter's Night a Traveler by Italo Calvino (Italian novel, 1979)"
"The Trial: someone must have slandered.","The Trial by Franz Kafka (Czech novel, 1925)"
"The Metamorphosis: as Gregor Samsa awoke.","The Metamorphosis by Franz Kafka (Czech novella, 1915)"
"Nausea: existence precedes essence.","Nausea by Jean-Paul Sartre (French philosophy novel, 1938)"
"The Stranger: Mother died today.","The Stranger by Albert Camus (French novel, 1942)"
"The Plague: panels of a nauseating comedy.","The Plague by Albert Camus (French novel, 1947)"
"One Flew Over the Cuckoo's Nest: lobotomy.","One Flew Over the Cuckoo's Nest by Ken Kesey (American novel, 1962)"
"Catch-22: he was insane.","Catch-22 by Joseph Heller (American humor war, 1961)"
"The Catcher in the Rye: phony.","The Catcher in the Rye by J.D. Salinger (American novel, 1951)"
"Lolita: light of my life.","Lolita by Vladimir Nabokov (Russian-American novel, 1955)"
"Pale Fire: aubade.","Pale Fire by Vladimir Nabokov (Russian-American novel, 1962)"
